Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Change in Average Spending Per Dosage Unit (2017-2018)
Terbutaline Sulfate*,Terbutaline Sulfate,7,"$3,871,645.36","896,527","9,405","2,179",$4.30,$411.66,"$1,776.80",0,-17.44%
Terconazole,Terconazole,5,"$4,719,365.32","4,710,072","133,490","91,305",$2.28,$35.35,$51.69,0,-3.42%
Terumo Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,$231.40,"1,292",17, ,$0.18,$13.61, ,1,1.73%
Terumo Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",1,$827.24,"4,719",55, ,$0.18,$15.04, ,0,-3.46%
Testim,Testosterone,1,"$2,738,109.70","717,830","3,000",676,$3.81,$912.70,"$4,050.46",0,11.64%
Testopel,Testosterone,1,"$877,780.23","9,003",826,466,$97.50,"$1,062.69","$1,883.65",0,10.75%
Testosterone,Testosterone,9,"$81,972,647.46","31,063,532","172,079","57,249",$3.14,$476.37,"$1,431.86",0,46.63%
Testosterone Cypionate,Testosterone Cypionate,7,"$29,856,868.86","3,032,782","664,724","178,573",$10.40,$44.92,$167.20,0,6.54%
Testosterone Enanthate,Testosterone Enanthate,2,"$964,642.33","75,188","12,449","4,503",$12.83,$77.49,$214.22,0,0.53%
Tetanus Toxoid Adsorbed,"Tetanus Toxoid, Adsorbed/PF",1,$891.09,15,15,15,$59.41,$59.41,$59.41,1,-11.94%
Tetrabenazine,Tetrabenazine,8,"$98,891,399.54","1,806,764","22,217","2,922",$54.26,"$4,451.16","$33,843.74",0,-18.01%
Tetracaine HCl,Tetracaine HCl,1,"$1,363.66","1,650",109,80,$0.83,$12.51,$17.05,0,-20.67%
Tetracaine HCl*,Tetracaine HCl/PF,1,"$2,015.62",600,83,66,$3.36,$24.28,$30.54,0,-7.94%
Tetracycline HCl,Tetracycline HCl,4,"$8,350,105.26","2,371,740","36,827","28,084",$3.53,$226.74,$297.33,0,15.90%
Texacort,Hydrocortisone,1,"$43,638.57","6,898",199,142,$6.33,$219.29,$307.31,0,1.12%
Thalomid,Thalidomide,1,"$41,483,834.14","178,971","5,786","1,073",$233.84,"$7,169.69","$38,661.54",0,-1.09%
Theo-24,Theophylline Anhydrous,1,"$8,023,218.59","2,534,519","44,977","9,664",$3.23,$178.38,$830.22,0,15.03%
Theophylline,Theophylline Anhydrous,8,"$7,958,473.28","11,101,680","153,411","30,262",$0.98,$51.88,$262.99,0,-5.09%
Theophylline Anhydrous,Theophylline Anhydrous,4,"$33,761,880.63","14,237,764","187,847","39,193",$2.36,$179.73,$861.43,0,29.47%
Thiola,Tiopronin,1,"$20,226,386.05","698,818","2,417",241,$28.94,"$8,368.38","$83,926.91",0,-0.77%
Thioridazine HCl,Thioridazine HCl,3,"$4,471,893.07","7,105,194","79,661","9,607",$0.66,$56.14,$465.48,0,2.83%
Thiothixene,Thiothixene,3,"$8,524,668.48","5,624,855","78,432","10,474",$1.52,$108.69,$813.89,0,1.13%
Thrivite 19,"Mv, Min 59/Iron/Folic/Docusate",1,"$1,729.89","2,920",58,31,$0.59,$29.83,$55.80,0,-1.81%
Thrivite Rx,"Prenatal Vit,Calc76/Iron/Folic",1,"$1,099.28","1,860",26,17,$0.59,$42.28,$64.66,1, 
Thyrogen,Thyrotropin Alfa,1,"$323,192.01",199,100,94,"$1,624.08","$3,231.92","$3,438.21",0,2.47%
Thyroid,"Thyroid,Pork",1,"$79,354.08","135,257","2,314","1,132",$0.60,$34.29,$70.10,0,8.17%
Tiagabine HCl,Tiagabine HCl,3,"$11,920,986.71","2,152,735","24,304","3,469",$5.62,$490.49,"$3,436.43",0,5.88%
Tiazac,Diltiazem HCl,1,"$295,655.57","103,676","1,590",347,$2.90,$185.95,$852.03,0,2.07%
Tibsovo,IVosidenib,1,"$6,673,700.96","15,039",274,105,$443.76,"$24,356.57","$63,559.06",0, 
Tigan*,Trimethobenzamide HCl,2,"$232,708.38","18,104",707,475,$16.69,$329.15,$489.91,0,8.52%
Tigecycline,Tigecycline,2,"$3,874,044.28","410,339","2,843",668,$10.36,"$1,362.66","$5,799.47",1,82.98%
Tikosyn,Dofetilide,1,"$9,676,670.91","938,101","9,860","2,122",$10.31,$981.41,"$4,560.17",0,15.83%
Tilia Fe,Norethindrone-E.Estradiol-Iron,1,"$38,397.99","23,576",546,106,$1.63,$70.33,$362.25,0,38.87%
Timolol Maleate*,Timolol Maleate,9,"$86,028,621.00","26,678,021","2,930,321","802,478",$3.93,$29.36,$107.20,0,3.17%
Timoptic,Timolol Maleate,1,"$44,338.34","1,805",163,99,$24.64,$272.01,$447.86,1, 
Timoptic Ocudose,Timolol Maleate/PF,2,"$11,172,945.48","1,515,703","19,366","5,601",$7.37,$576.94,"$1,994.81",0,9.22%
Timoptic-Xe,Timolol Maleate,1,"$35,977.14",935,118,83,$38.50,$304.89,$433.46,0,3.21%
Tindamax,Tinidazole,1,"$2,269.31",162,12, ,$14.01,$189.11, ,1,17.92%
Tinidazole,Tinidazole,6,"$415,176.44","120,448","7,752","5,842",$3.55,$53.56,$71.07,0,-3.62%
Tirosint,Levothyroxine Sodium,1,"$12,842,402.06","3,027,898","64,926","14,197",$4.24,$197.80,$904.59,0,5.62%
Tivicay,Dolutegravir Sodium,1,"$642,056,270.21","11,459,826","350,220","41,207",$56.03,"$1,833.29","$15,581.24",0,8.03%
Tivorbex,"Indomethacin, Submicronized",1,"$132,709.55","28,126",387,142,$4.72,$342.92,$934.57,0,12.14%
Tizanidine HCl,Tizanidine HCl,17,"$101,430,042.62","431,290,115","5,245,271","1,463,576",$0.24,$19.34,$69.30,0,-5.56%
Tobi,Tobramycin In 0.225% Sod Chlor,1,"$117,135.27","5,090",21,13,$23.01,"$5,577.87","$9,010.41",1,-6.02%
Tobi Podhaler,Tobramycin,1,"$12,004,253.82","258,624","1,156",405,$46.42,"$10,384.30","$29,640.13",0,6.81%
Tobradex,Tobramycin/Dexamethasone,1,"$19,528,165.22","309,531","85,602","60,329",$63.23,$228.13,$323.69,0,4.83%
Tobradex St,Tobramycin/Dexamethasone,1,"$1,220,298.13","28,651","5,494","4,461",$42.59,$222.11,$273.55,0,7.25%
Tobramycin,Tobramycin,4,"$2,743,109.06","1,592,275","265,992","216,902",$1.73,$10.31,$12.65,0,10.86%
Tobramycin,Tobramycin In 0.225% Sod Chlor,5,"$4,533,595.33","309,039","1,667",684,$14.83,"$2,719.61","$6,628.06",0,-6.72%
Tobramycin Sulfate,Tobramycin Sulfate,8,"$18,800,967.25","4,330,721","16,945","7,948",$2.33,"$1,109.53","$2,365.50",0,50.20%
Tobramycin-Dexamethasone,Tobramycin/Dexamethasone,2,"$39,581,082.36","2,451,944","475,340","358,650",$16.14,$83.27,$110.36,0,-0.46%
Tobrex,Tobramycin,1,"$2,391,301.81","38,054","10,427","7,914",$63.41,$229.34,$302.16,0,6.94%
Tofranil,Imipramine HCl,1,"$735,871.40","39,256",273,54,$18.77,"$2,695.50","$13,627.25",0,5.05%
Tolak,Fluorouracil,2,"$716,991.22","108,727","2,650","2,363",$6.59,$270.56,$303.42,0,16.69%
Tolazamide,Tolazamide,1,"$79,889.49","33,481",274,73,$2.26,$291.57,"$1,094.38",0,-2.42%
Tolbutamide,Tolbutamide,1,"$54,958.82","62,780",425,114,$0.88,$129.31,$482.09,0,-3.28%
Tolcapone,Tolcapone,2,"$3,966,410.42","53,588",469,72,$73.98,"$8,457.17","$55,089.03",0,-8.78%
Tolmetin Sodium,Tolmetin Sodium,1,"$266,224.14","102,879",798,273,$2.59,$333.61,$975.18,0,-3.44%
Tolterodine Tartrate,Tolterodine Tartrate,5,"$30,000,239.49","17,522,393","246,555","54,149",$1.71,$121.68,$554.03,0,-8.23%
Tolterodine Tartrate ER,Tolterodine Tartrate,7,"$153,301,067.96","39,183,231","823,169","186,729",$3.92,$186.23,$820.98,0,-12.86%
Topamax,Topiramate,1,"$54,716,194.56","4,106,797","38,102","4,824",$14.32,"$1,436.05","$11,342.49",0,9.67%
Topcare Clickfine,"Pen Needle, Diabetic",1,"$9,455.85","47,830",379,158,$0.20,$24.95,$59.85,0,1.60%
Topcare Ultra Comfort,"Syring-Needl,Disp,Insul,0.3 Ml",1,$340.99,"2,230",21,16,$0.15,$16.24,$21.31,1,4.23%
Topcare Ultra Comfort,"Syringe And Needle,Insulin,1ml",1,$901.18,"5,752",60,31,$0.16,$15.02,$29.07,1,5.27%
Topcare Ultra Comfort,"Syringe-Needle,Insulin,0.5 Ml",1,$876.48,"5,620",41,26,$0.16,$21.38,$33.71,1,2.39%
Topicort,Desoximetasone,1,"$713,353.36","129,660","1,267",864,$5.51,$563.03,$825.64,0,0.60%
Topiramate,Topiramate,15,"$44,150,940.69","279,994,509","3,190,663","578,607",$0.16,$13.84,$76.31,0,-0.89%
Topiramate ER,Topiramate,1,"$6,647,033.11","490,378","8,971","2,217",$13.90,$740.95,"$2,998.21",0,17.88%
Toposar,Etoposide,1,$751.30,480,17, ,$1.57,$44.19, ,1,-4.64%
Topotecan HCl,Topotecan HCl,1,"$36,540.13",186,30, ,$196.45,"$1,218.00", ,0,2.18%
Toprol XL,Metoprolol Succinate,2,"$38,657,710.53","67,613,855","701,990","198,785",$0.58,$55.07,$194.47,0,0.47%
Torisel,Temsirolimus,1,"$342,817.75",187,53,17,"$1,833.25","$6,468.26","$20,165.75",0,4.55%
Torsemide,Torsemide,9,"$32,404,567.26","140,992,312","1,828,001","411,671",$0.24,$17.73,$78.71,0,-0.04%
Toujeo Max Solostar,"Insulin Glargine,Hum.Rec.Anlog",1,"$18,059,363.24","218,858","16,813","8,613",$82.52,"$1,074.13","$2,096.76",0, 
Toujeo Solostar,"Insulin Glargine,Hum.Rec.Anlog",1,"$596,026,240.76","7,252,613","913,242","196,640",$82.18,$652.65,"$3,031.05",0,9.33%
Toviaz,Fesoterodine Fumarate,1,"$145,383,941.69","13,861,157","330,416","68,779",$10.49,$440.00,"$2,113.78",0,8.73%
Tracleer,Bosentan,1,"$207,227,540.10","1,106,546","18,547","1,954",$187.27,"$11,173.10","$106,052.99",0,7.78%
Tradjenta,Linagliptin,1,"$1,043,195,403.10","76,101,691","1,822,665","322,978",$13.71,$572.35,"$3,229.93",0,8.58%
Tramadol HCl,Tramadol HCl,15,"$107,292,978.33","1,102,057,860","14,253,232","4,333,383",$0.10,$7.53,$24.76,0,8.86%
Tramadol HCl ER,Tramadol HCl,7,"$17,821,804.06","6,436,005","173,194","38,232",$2.82,$102.90,$466.15,0,-6.66%
Tramadol HCl-Acetaminophen,Tramadol HCl/Acetaminophen,11,"$10,413,821.30","36,810,462","486,966","190,169",$0.28,$21.39,$54.76,0,6.41%
Trandolapril,Trandolapril,5,"$2,952,491.19","7,892,660","100,027","21,740",$0.37,$29.52,$135.81,0,-3.81%
Trandolapril-Verapamil ER,Trandolapril/Verapamil HCl,2,"$1,737,787.55","565,127","8,173","1,938",$3.08,$212.63,$896.69,0,-0.10%
Tranexamic Acid*,Tranexamic Acid,7,"$1,557,311.00","504,483","11,985","6,379",$3.10,$129.94,$244.13,0,-8.24%
Transderm-Scop,Scopolamine,3,"$23,602,001.65","1,153,274","193,356","105,925",$20.38,$122.07,$222.82,0,-0.61%
Tranxene T-Tab,Clorazepate Dipotassium,1,"$578,695.74","58,321",591,93,$9.92,$979.18,"$6,222.53",0,25.89%
Tranylcypromine Sulfate,Tranylcypromine Sulfate,3,"$5,202,313.27","2,494,238","13,377","1,997",$2.09,$388.90,"$2,605.06",0,-4.86%
Travasol,Parenteral Amino Acid 10% No.6,1,"$411,660.90","9,616,909","2,415",331,$0.04,$170.46,"$1,243.69",0,19.43%
Travatan Z,Travoprost,1,"$393,794,154.41","5,747,954","1,427,042","317,008",$68.51,$275.95,"$1,242.22",0,7.67%
Travoprost,Travoprost (Benzalkonium),1,"$6,401.21",194,62,51,$33.08,$103.25,$125.51,0,5.05%
Trazodone HCl,Trazodone HCl,12,"$144,207,082.53","748,985,404","13,504,002","2,726,047",$0.20,$10.68,$52.90,0,3.57%
Treanda,Bendamustine HCl,1,"$2,255,821.12","1,127",227,60,"$2,434.95","$9,937.54","$37,597.02",0,-0.50%
Trecator,Ethionamide,1,"$20,029.96","3,584",60,11,$5.59,$333.83,"$1,820.91",0,12.06%
Trelegy Ellipta,Fluticasone/Umeclidin/Vilanter,1,"$182,765,041.77","20,553,701","283,387","103,963",$8.89,$644.93,"$1,757.98",0,3.54%
Trelstar,Triptorelin Pamoate,2,"$10,231,698.71","4,521","4,500","1,664","$2,267.38","$2,273.71","$6,148.86",0,-2.33%
Tremfya,Guselkumab,1,"$77,058,266.88","7,511","7,301","1,997","$10,259.39","$10,554.48","$38,587.01",0,5.05%
Tresiba Flextouch U-100,Insulin Degludec,1,"$304,449,262.41","9,564,673","543,339","137,234",$31.83,$560.33,"$2,218.47",0,6.83%
Tresiba Flextouch U-200,Insulin Degludec,1,"$627,964,946.53","9,910,356","646,109","146,178",$63.36,$971.92,"$4,295.89",0,6.99%
Tretinoin Microsphere,Tretinoin Microspheres,2,"$1,128,929.45","131,350","2,840","1,327",$8.62,$397.51,$850.74,0,-2.06%
Tretinoin*,Tretinoin,8,"$19,986,896.11","4,731,441","113,555","55,978",$3.64,$176.01,$357.05,0,-5.84%
Trexall,Methotrexate Sodium,1,"$997,788.88","43,469","4,500","1,244",$26.53,$221.73,$802.08,0,8.47%
Treximet,Sumatriptan Succ/Naproxen Sod,1,"$3,838,152.09","38,645","2,858",922,$99.31,"$1,342.95","$4,162.85",0,7.71%
Trezix,Acetaminophen/Caff/Dihydrocod,1,"$239,177.88","73,933",887,395,$3.24,$269.65,$605.51,0,-5.90%
Tri Femynor,Norgestimate-Ethinyl Estradiol,1,"$52,763.28","99,452","2,020",582,$0.53,$26.12,$90.66,0, 
Tri-Estarylla,Norgestimate-Ethinyl Estradiol,1,"$37,629.62","68,656","1,708",703,$0.55,$22.03,$53.53,0,20.06%
Tri-Legest Fe,Norethindrone-E.Estradiol-Iron,1,"$54,046.70","38,304",885,155,$1.41,$61.07,$348.69,0,6.41%
Tri-Linyah,Norgestimate-Ethinyl Estradiol,1,"$148,781.64","292,209","8,004","1,645",$0.51,$18.59,$90.44,0,17.86%
Tri-Lo-Estarylla,Norgestimate-Ethinyl Estradiol,2,"$30,070.77","45,864","1,170",330,$0.65,$25.70,$91.12,0,5.91%
Tri-Lo-Marzia,Norgestimate-Ethinyl Estradiol,1,"$98,636.19","143,060","3,430",977,$0.69,$28.76,$100.96,0,-0.70%
Tri-Lo-Sprintec,Norgestimate-Ethinyl Estradiol,1,"$104,659.27","141,042","3,572","1,048",$0.74,$29.30,$99.87,0,-8.15%
Tri-Previfem,Norgestimate-Ethinyl Estradiol,1,"$118,188.39","218,307","5,640","1,335",$0.54,$20.96,$88.53,0,14.06%
Tri-Sprintec,Norgestimate-Ethinyl Estradiol,1,"$439,981.02","900,858","24,327","5,252",$0.49,$18.09,$83.77,0,11.21%
Tri-Vylibra,Norgestimate-Ethinyl Estradiol,1,$842.39,"1,512",40,23,$0.56,$21.06,$36.63,0, 
Triamcinolone Acetonide*,Triamcinolone Acetonide,17,"$69,489,240.17","559,265,215","5,149,439","2,969,002",$0.47,$13.49,$23.40,0,-11.36%
Triamterene-Hydrochlorothiazid,Triamterene/Hydrochlorothiazid,10,"$50,276,851.99","253,943,587","3,880,450","940,802",$0.20,$12.96,$53.44,0,-4.29%
Trianex,Triamcinolone Acetonide,1,"$983,462.22","469,670","1,103",905,$2.09,$891.62,"$1,086.70",0,4.94%
Triazolam,Triazolam,2,"$8,040,665.24","4,327,835","111,194","32,461",$1.86,$72.31,$247.70,0,29.68%
Tribenzor,Olmesartan/Amlodipin/HCThiazid,1,"$3,716,811.40","356,900","8,297","1,857",$10.42,$447.97,"$2,001.51",0,6.82%
Tricare,Prenatal Vit103/Iron Fum/Folic,1,"$5,224.72","5,077",127,41,$1.03,$41.14,$127.43,0,7.93%
Tricitrates,Sod/Pot/K Cit/Sod Cit/Cit Acid,1,"$24,420.10","255,470",207,43,$0.10,$117.97,$567.91,0,7.60%
Tricor,Fenofibrate Nanocrystallized,1,"$335,291.13","365,064","5,609","1,666",$0.93,$59.78,$201.26,0,1.25%
Triderm,Triamcinolone Acetonide,1,"$164,567.58","375,340",874,729,$0.42,$188.29,$225.74,0,-93.64%
Tridesilon,Desonide,1,"$12,601.74","1,260",21,17,$10.00,$600.08,$741.28,1,-4.84%
Trientine HCl,Trientine HCl,2,"$6,198,477.31","37,143",390,66,$167.07,"$15,893.53","$93,916.32",0, 
Triesence,Triamcinolone Acetonide/PF,1,"$13,629.45",90,76,50,$151.44,$179.33,$272.59,0,0.15%
Trifluoperazine HCl,Trifluoperazine HCl,4,"$5,785,128.81","5,265,480","81,736","12,224",$1.09,$70.78,$473.26,0,-0.79%
Trifluridine,Trifluridine,1,"$2,142,353.17","113,846","14,900","11,215",$18.82,$143.78,$191.03,0,11.92%
Triglide,Fenofibrate Nanocrystallized,1,"$410,779.59","40,614",656,246,$10.11,$626.19,"$1,669.84",0,4.47%
Trihexyphenidyl HCl,Trihexyphenidyl HCl,8,"$2,893,938.82","21,393,378","260,895","37,999",$0.14,$11.09,$76.16,0,-17.23%
Trileptal,Oxcarbazepine,1,"$21,087,969.51","3,117,167","16,707","2,078",$9.76,"$1,262.22","$10,148.20",0,7.45%
Trilipix,Fenofibric Acid (Choline),1,"$814,322.24","106,122","1,980",436,$7.79,$411.27,"$1,867.71",0,6.52%
Trilyte With Flavor Packets,Sodium Chloride/NaHCO3/KCl/PEG,1,"$120,432.94","26,678,055","6,575","6,445",$0.00,$18.32,$18.69,0,3.50%
Trimethobenzamide HCl*,Trimethobenzamide HCl,2,"$717,452.00","537,199","7,758","3,328",$1.34,$92.48,$215.58,0,1.09%
Trimethoprim,Trimethoprim,5,"$4,340,602.45","12,106,477","271,114","75,653",$0.36,$16.01,$57.38,0,-3.60%
Trimipramine Maleate,Trimipramine Maleate,3,"$394,773.52","86,916","1,087",228,$4.65,$363.18,"$1,731.46",0,-1.57%
Trinatal Rx 1,"Prenatal Vit27,Calcium/Iron/FA",1,"$4,332.31","17,874",489,165,$0.24,$8.86,$26.26,0,5.81%
Trinessa,Norgestimate-Ethinyl Estradiol,1,"$317,493.99","603,610","13,584","3,214",$0.53,$23.37,$98.78,0,20.92%
Trinessa Lo,Norgestimate-Ethinyl Estradiol,1,"$71,934.85","122,006","2,821",830,$0.59,$25.50,$86.67,0,15.48%
Trintellix,Vortioxetine Hydrobromide,1,"$213,700,151.07","16,737,444","474,622","86,278",$12.77,$450.25,"$2,476.88",0,9.93%
Triphrocaps,B Complex W-C No.20/Folic Acid,1,"$3,837.06","10,794",215,79,$0.36,$17.85,$48.57,0,-13.74%
Tristart DHA,Prenatal 93/Iron/Folate 9/DHA,1,"$52,002.83","11,580",228,54,$4.49,$228.08,$963.02,0,22.01%
Triumeq,Abacavir/Dolutegravir/Lamivudi,1,"$764,629,132.10","8,067,379","258,493","29,120",$94.78,"$2,958.03","$26,257.87",0,8.07%
Trivora-28,Levonorgestrel-Ethin Estradiol,2,"$38,787.30","60,048","1,522",285,$0.65,$25.48,$136.10,0,5.61%
Trizivir,Abacavir/Lamivudine/Zidovudine,1,"$567,044.97","20,820",318,63,$27.24,"$1,783.16","$9,000.71",0,1.13%
Trogarzo,Ibalizumab-Uiyk,1,"$4,366,507.81","4,963",517,82,$879.82,"$8,445.86","$53,250.10",0, 
Trokendi XR,Topiramate,1,"$39,941,398.83","1,787,455","37,699","7,172",$22.39,"$1,059.48","$5,569.07",0,9.41%
Tropicamide,Tropicamide,3,"$33,086.87","28,124","2,341","2,096",$1.35,$14.13,$15.79,0,-28.66%
Trospium Chloride,Trospium Chloride,7,"$20,986,642.93","17,759,605","215,898","63,290",$1.19,$97.21,$331.59,0,-6.65%
Trospium Chloride ER,Trospium Chloride,3,"$21,467,326.29","5,316,339","100,507","28,626",$4.02,$213.59,$749.92,0,-11.22%
Trueplus Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,"$576,306.17","2,838,602","27,323","10,618",$0.20,$21.09,$54.28,0,-2.24%
Trueplus Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,"$1,483,446.56","7,913,515","69,948","25,418",$0.19,$21.21,$58.36,0,-3.82%
Trueplus Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",1,"$1,626,402.78","8,392,649","77,261","26,766",$0.19,$21.05,$60.76,0,-1.41%
Trueplus Pen Needle,"Pen Needle, Diabetic",1,"$3,329,392.25","14,569,421","117,416","48,683",$0.23,$28.36,$68.39,0,-0.50%
Trulance,Plecanatide,1,"$20,158,481.38","1,540,734","40,515","13,131",$13.08,$497.56,"$1,535.18",0,11.04%
Trulicity,Dulaglutide,1,"$1,360,642,452.00","3,746,576","1,383,713","263,675",$363.21,$983.33,"$5,160.30",0,10.14%
Trumenba,"N.Meningitidis B,Lipid Fhbp Rc",1,"$86,432.02",294,519,385,$294.49,$166.54,$224.50,0,207.69%
Trusopt,Dorzolamide HCl,1,"$684,410.28","89,694","8,160","4,496",$7.63,$83.87,$152.23,1,-6.03%
Truvada,Emtricitabine/Tenofovir (Tdf),1,"$319,666,546.17","5,635,252","180,404","26,387",$56.73,"$1,771.95","$12,114.55",0,7.34%
Tudorza Pressair,Aclidinium Bromide,1,"$37,243,492.04","117,497","82,950","20,625",$316.97,$448.99,"$1,805.75",0,4.60%
Tulana,Norethindrone,1,$377.33,560,14, ,$0.67,$26.95, ,1, 
Twinrix,Hepatitis A And B Vaccine/PF,1,"$5,393,144.30","45,080","44,942","27,981",$119.64,$120.00,$192.74,0,3.97%
Twynsta,Telmisartan/Amlodipine,1,"$89,919.28","12,784",279,50,$7.04,$322.29,"$1,798.39",0,6.04%
Tybost,Cobicistat,1,"$206,493.89","27,297",850,165,$7.56,$242.93,"$1,251.48",0,8.66%
Tygacil,Tigecycline,2,"$2,662,902.06","173,397","2,036",505,$15.51,"$1,307.91","$5,273.07",1,50.37%
Tykerb,Lapatinib Ditosylate,1,"$32,348,685.34","637,835","5,314","1,125",$50.72,"$6,087.45","$28,754.39",0,10.02%
Tylenol-Codeine No.3,Acetaminophen With Codeine,1,"$132,572.97","107,395","1,255",336,$1.23,$105.64,$394.56,0,0.09%
Tylenol-Codeine No.4,Acetaminophen With Codeine,1,"$151,040.99","69,711",564,144,$2.17,$267.80,"$1,048.90",0,1.51%
Tymlos,Abaloparatide,1,"$52,079,800.79","46,575","26,093","6,480","$1,118.20","$1,995.93","$8,037.01",0,5.41%
Typhim Vi,Typhoid Vi Polysacch Vaccine,1,"$1,973,617.82","15,130","17,459","17,341",$148.00,$113.04,$113.81,0,13.60%
Tysabri,Natalizumab,1,"$34,206,200.83","80,190","5,346",736,$426.56,"$6,398.47","$46,475.82",0,5.35%
Tyvaso Refill Kit,Treprostinil/Neb Accessories,1,"$2,994,745.06","14,941",167,31,$200.44,"$17,932.61","$96,604.68",0,1.04%
Uceris*,Budesonide,2,"$22,086,847.15","471,770","12,360","4,285",$52.36,"$1,786.96","$5,154.46",0,1.52%
Uloric,Febuxostat,1,"$321,560,724.42","30,139,229","666,032","126,444",$10.67,$482.80,"$2,543.11",0,8.51%
Ulticare,"Syr,Ndl,Insulin,1ml-Sharps Bin",1,"$4,221.45","12,840",191,69,$0.33,$22.10,$61.18,0,1.72%
Ulticare,"Syr-Nd,Ins,0.3/Container,Empty",1,"$2,199.68","6,560",95,26,$0.34,$23.15,$84.60,0,0.28%
Ulticare,"Syr-Nd,Ins,0.5/Container,Empty",1,$642.69,"2,030",20,15,$0.32,$32.13,$42.85,1,-3.65%
Ulticare,"Syring-Needl,Disp,Insul,0.3 Ml",1,"$114,908.64","450,455","3,861","1,699",$0.25,$29.76,$67.63,0,2.64%
Ulticare,"Syringe And Needle,Insulin,1ml",1,"$358,286.17","1,426,734","12,249","4,609",$0.25,$29.25,$77.74,0,-0.12%
Ulticare,"Syringe-Needle,Insulin,0.5 Ml",1,"$306,859.96","1,224,402","10,363","3,963",$0.25,$29.61,$77.43,0,0.32%
Ulticare Insulin Syringe,"Syrge-Ndl,Ins 0.3 Ml Half Mark",1,"$10,392.52","39,340",320,155,$0.26,$32.48,$67.05,0,1.18%
Ulticare Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,"$14,861.68","57,357",464,222,$0.26,$32.03,$66.94,0,3.08%
Ulticare Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,"$50,826.61","195,958","1,736",684,$0.26,$29.28,$74.31,0,2.04%
Ulticare Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",1,"$46,300.19","176,190","1,728",661,$0.26,$26.79,$70.05,0,2.05%
Ulticare Pen Needle,"Pen Needle, Diabetic",1,"$12,673,205.65","34,054,756","290,373","101,099",$0.37,$43.64,$125.35,0,1.60%
Ultilet Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,$460.24,"1,870",32, ,$0.25,$14.38, ,1,-0.70%
Ultilet Pen Needle,"Pen Needle, Diabetic",1,$401.44,"2,213",22, ,$0.18,$18.25, ,1, 
Ultimatecare One,"PNV,Calcium37/Iron/Folic/Omeg3",1,"$3,821.53","4,370",66,32,$0.87,$57.90,$119.42,0,-8.83%
Ultiva,Remifentanil HCl,1,"$3,576.36",48,48,45,$74.51,$74.51,$79.47,0, 
Ultra Comfort,"Syrge-Ndl,Ins 0.3 Ml Half Mark",1,"$5,156.71","32,767",370,152,$0.16,$13.94,$33.93,0,1.87%
Ultra Comfort,"Syring-Needl,Disp,Insul,0.3 Ml",3,"$44,077.77","203,986","1,280",540,$0.22,$34.44,$81.63,0,2.69%
Ultra Comfort,"Syringe And Needle,Insulin,1ml",3,"$284,904.94","1,366,725","10,587","4,130",$0.20,$26.91,$68.98,0,2.45%
Ultra Comfort,"Syringe-Needle,Insulin,0.5 Ml",4,"$177,586.23","878,436","6,674","2,723",$0.20,$26.61,$65.22,0,1.18%
Ultra-Fine Micro Pen Needle,"Pen Needle, Diabetic",1,"$2,080,879.69","5,080,846","36,550","19,632",$0.41,$56.93,$105.99,0,2.76%
Ultra-Fine Mini Pen Needle,"Pen Needle, Diabetic",1,"$55,146,877.46","137,397,006","976,928","353,334",$0.40,$56.45,$156.08,0,5.42%
Ultra-Fine Nano Pen Needle,"Pen Needle, Diabetic",1,"$92,653,990.25","216,295,631","1,461,596","523,667",$0.43,$63.39,$176.93,0,3.12%
Ultra-Fine Original Pen Needle,"Pen Needle, Diabetic",1,"$7,394,864.01","17,686,807","125,616","48,277",$0.42,$58.87,$153.18,0,5.38%
Ultra-Fine Short Pen Needle,"Pen Needle, Diabetic",1,"$55,941,940.34","142,530,840","978,692","361,682",$0.39,$57.16,$154.67,0,5.09%
Ultra-Thin II,"Pen Needle, Diabetic",1,"$102,636.33","346,611","2,851","1,256",$0.30,$36.00,$81.72,0,-0.05%
Ultra-Thin II,"Syring-Needl,Disp,Insul,0.3 Ml",1,"$19,281.43","76,110",637,266,$0.25,$30.27,$72.49,0,1.51%
Ultra-Thin II,"Syringe And Needle,Insulin,1ml",1,"$59,813.70","222,513","2,066",928,$0.27,$28.95,$64.45,0,5.46%
Ultra-Thin II,"Syringe-Needle,Insulin,0.5 Ml",1,"$37,897.01","157,070","1,487",581,$0.24,$25.49,$65.23,0,-2.95%
Ultracare Pen Needle,"Pen Needle, Diabetic",1,"$4,354.10","5,390",46,45,$0.80,$94.65,$96.76,1, 
Ultracet,Tramadol HCl/Acetaminophen,1,"$593,818.85","236,346","1,862",366,$2.51,$318.91,"$1,622.46",0,1.06%
